#Id	Can be broken by	Normal Drop	Ultimallet Drop	Description
987	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
988	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
989	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
990	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
991	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
992	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
993	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
994	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
995	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
996	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
997	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
998	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
999	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1000	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1001	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1002	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1003	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1004	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1005	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1006	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1007	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1008	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1009	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1010	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1011	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1012	0	0	0	0
1013	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1014	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1015	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1016	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1017	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1018	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1019	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1020	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1021	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1022	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1023	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1024	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1025	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1026	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1027	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1028	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1029	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1030	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1031	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1032	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1033	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1034	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1035	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1036	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1037	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1038	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1039	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1040	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1041	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1042	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1043	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1044	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1045	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1046	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1047	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1048	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1049	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1050	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1051	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1052	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1053	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1054	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1055	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1056	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1057	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1058	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1059	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1060	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1061	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1062	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1063	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1064	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1065	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1066	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1067	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1068	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1069	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1070	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1071	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1072	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1073	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1074	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1075	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1076	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1077	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1078	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1079	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1080	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1081	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1082	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1083	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1084	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1085	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1086	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1087	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1088	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1089	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1090	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1091	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1092	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1093	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1094	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1095	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1096	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1097	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1098	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1099	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1100	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1101	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1102	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1103	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1104	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1105	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1106	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1107	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1108	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1109	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1110	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1111	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1112	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1113	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1114	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1115	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1116	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1117	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1118	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1119	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1120	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1121	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1122	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1123	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1124	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1125	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1126	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1127	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1128	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1129	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1130	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1131	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1132	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1133	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1134	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1135	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1136	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1137	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1138	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1139	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1140	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1141	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1142	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1143	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1144	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1145	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1146	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1147	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1148	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1149	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1150	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1151	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1152	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1153	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1154	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1155	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1156	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1157	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
1158	0	Water-Filled Bottomless Pot {1767}	0	0
1159	0	Water-Filled Bottomless Pot {1767}	0	0
1160	0	Water-Filled Bottomless Pot {1767}	0	0
1161	0	Water-Filled Bottomless Pot {1767}	0	0
1162	0	Water-Filled Bottomless Pot {1767}	0	0
1163	0	Water-Filled Bottomless Pot {1767}	0	0
1164	0	Water-Filled Bottomless Pot {1767}	0	0
1165	0	Water-Filled Bottomless Pot {1767}	0	0
1166	0	Water-Filled Bottomless Pot {1767}	0	0
1167	0	Water-Filled Bottomless Pot {1767}	0	0
1168	0	Water-Filled Bottomless Pot {1767}	0	0
1169	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1170	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1171	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1172	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1173	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1174	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1175	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1176	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1177	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1178	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1179	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1180	0	Poison-Filled Bottomless Pot {1557}	0	0
1181	0	Poison-Filled Bottomless Pot {1557}	0	0
1182	0	Poison-Filled Bottomless Pot {1557}	0	0
1183	0	Poison-Filled Bottomless Pot {1557}	0	0
1184	0	Poison-Filled Bottomless Pot {1557}	0	0
1185	0	Poison-Filled Bottomless Pot {1557}	0	0
1186	0	Poison-Filled Bottomless Pot {1557}	0	0
1187	0	Poison-Filled Bottomless Pot {1557}	0	0
1188	0	Poison-Filled Bottomless Pot {1557}	0	0
1189	0	Poison-Filled Bottomless Pot {1557}	0	0
1190	0	Poison-Filled Bottomless Pot {1557}	0	0
1191	0	Lava-Filled Bottomless Pot {1558}	0	0
1192	0	Lava-Filled Bottomless Pot {1558}	0	0
1193	0	Lava-Filled Bottomless Pot {1558}	0	0
1194	0	Lava-Filled Bottomless Pot {1558}	0	0
1195	0	Lava-Filled Bottomless Pot {1558}	0	0
1196	0	Lava-Filled Bottomless Pot {1558}	0	0
1197	0	Lava-Filled Bottomless Pot {1558}	0	0
1198	0	Lava-Filled Bottomless Pot {1558}	0	0
1199	0	Lava-Filled Bottomless Pot {1558}	0	0
1200	0	Lava-Filled Bottomless Pot {1558}	0	0
1201	0	Lava-Filled Bottomless Pot {1558}	0	0
1202	0	Nothing {-1}	0	0
1203	0	Nothing {-1}	0	0
1204	0	Nothing {-1}	0	0
1205	0	Nothing {-1}	0	0
1206	0	Nothing {-1}	0	0
1207	0	Nothing {-1}	0	0
1208	0	Nothing {-1}	0	0
1209	0	Nothing {-1}	0	0
1210	0	Nothing {-1}	0	0
1211	0	Nothing {-1}	0	0
1212	0	Nothing {-1}	0	0
1213	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1214	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1215	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1216	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1217	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1218	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1219	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1220	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1221	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1222	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1223	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1224	0	Sea Water-Filled Bottomless Pot {1}	0	0
1225	0	Sea Water-Filled Bottomless Pot {1}	0	0
1226	0	Sea Water-Filled Bottomless Pot {1}	0	0
1227	0	Sea Water-Filled Bottomless Pot {1}	0	0
1228	0	Sea Water-Filled Bottomless Pot {1}	0	0
1229	0	Sea Water-Filled Bottomless Pot {1}	0	0
1230	0	Sea Water-Filled Bottomless Pot {1}	0	0
1231	0	Sea Water-Filled Bottomless Pot {1}	0	0
1232	0	Sea Water-Filled Bottomless Pot {1}	0	0
1233	0	Sea Water-Filled Bottomless Pot {1}	0	0
1234	0	Sea Water-Filled Bottomless Pot {1}	0	0
1235	0	Plasma-Filled Bottomless Pot {1559}	0	0
1236	0	Plasma-Filled Bottomless Pot {1559}	0	0
1237	0	Plasma-Filled Bottomless Pot {1559}	0	0
1238	0	Plasma-Filled Bottomless Pot {1559}	0	0
1239	0	Plasma-Filled Bottomless Pot {1559}	0	0
1240	0	Plasma-Filled Bottomless Pot {1559}	0	0
1241	0	Plasma-Filled Bottomless Pot {1559}	0	0
1242	0	Plasma-Filled Bottomless Pot {1559}	0	0
1243	0	Plasma-Filled Bottomless Pot {1559}	0	0
1244	0	Plasma-Filled Bottomless Pot {1559}	0	0
1245	0	Plasma-Filled Bottomless Pot {1559}	0	0
1246	0	0	0	0
1247	0	Water-Filled Bottomless Pot {1767}	0	0
1248	0	Water-Filled Bottomless Pot {1767}	0	0
1249	0	Water-Filled Bottomless Pot {1767}	0	0
1250	0	Water-Filled Bottomless Pot {1767}	0	0
1251	0	Water-Filled Bottomless Pot {1767}	0	0
1252	0	Water-Filled Bottomless Pot {1767}	0	0
1253	0	Water-Filled Bottomless Pot {1767}	0	0
1254	0	Water-Filled Bottomless Pot {1767}	0	0
1255	0	Water-Filled Bottomless Pot {1767}	0	0
1256	0	Water-Filled Bottomless Pot {1767}	0	0
1257	0	Water-Filled Bottomless Pot {1767}	0	0
1258	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1259	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1260	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1261	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1262	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1263	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1264	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1265	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1266	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1267	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1268	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1269	0	Poison-Filled Bottomless Pot {1557}	0	0
1270	0	Poison-Filled Bottomless Pot {1557}	0	0
1271	0	Poison-Filled Bottomless Pot {1557}	0	0
1272	0	Poison-Filled Bottomless Pot {1557}	0	0
1273	0	Poison-Filled Bottomless Pot {1557}	0	0
1274	0	Poison-Filled Bottomless Pot {1557}	0	0
1275	0	Poison-Filled Bottomless Pot {1557}	0	0
1276	0	Poison-Filled Bottomless Pot {1557}	0	0
1277	0	Poison-Filled Bottomless Pot {1557}	0	0
1278	0	Poison-Filled Bottomless Pot {1557}	0	0
1279	0	Poison-Filled Bottomless Pot {1557}	0	0
1280	0	Lava-Filled Bottomless Pot {1558}	0	0
1281	0	Lava-Filled Bottomless Pot {1558}	0	0
1282	0	Lava-Filled Bottomless Pot {1558}	0	0
1283	0	Lava-Filled Bottomless Pot {1558}	0	0
1284	0	Lava-Filled Bottomless Pot {1558}	0	0
1285	0	Lava-Filled Bottomless Pot {1558}	0	0
1286	0	Lava-Filled Bottomless Pot {1558}	0	0
1287	0	Lava-Filled Bottomless Pot {1558}	0	0
1288	0	Lava-Filled Bottomless Pot {1558}	0	0
1289	0	Lava-Filled Bottomless Pot {1558}	0	0
1290	0	Lava-Filled Bottomless Pot {1558}	0	0
1291	0	Nothing {-1}	0	0
1292	0	Nothing {-1}	0	0
1293	0	Nothing {-1}	0	0
1294	0	Nothing {-1}	0	0
1295	0	Nothing {-1}	0	0
1296	0	Nothing {-1}	0	0
1297	0	Nothing {-1}	0	0
1298	0	Nothing {-1}	0	0
1299	0	Nothing {-1}	0	0
1300	0	Nothing {-1}	0	0
1301	0	Nothing {-1}	0	0
1302	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1303	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1304	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1305	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1306	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1307	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1308	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1309	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1310	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1311	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1312	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1313	0	Sea Water-Filled Bottomless Pot {1}	0	0
1314	0	Sea Water-Filled Bottomless Pot {1}	0	0
1315	0	Sea Water-Filled Bottomless Pot {1}	0	0
1316	0	Sea Water-Filled Bottomless Pot {1}	0	0
1317	0	Sea Water-Filled Bottomless Pot {1}	0	0
1318	0	Sea Water-Filled Bottomless Pot {1}	0	0
1319	0	Sea Water-Filled Bottomless Pot {1}	0	0
1320	0	Sea Water-Filled Bottomless Pot {1}	0	0
1321	0	Sea Water-Filled Bottomless Pot {1}	0	0
1322	0	Sea Water-Filled Bottomless Pot {1}	0	0
1323	0	Sea Water-Filled Bottomless Pot {1}	0	0
1324	0	Plasma-Filled Bottomless Pot {1559}	0	0
1325	0	Plasma-Filled Bottomless Pot {1559}	0	0
1326	0	Plasma-Filled Bottomless Pot {1559}	0	0
1327	0	Plasma-Filled Bottomless Pot {1559}	0	0
1328	0	Plasma-Filled Bottomless Pot {1559}	0	0
1329	0	Plasma-Filled Bottomless Pot {1559}	0	0
1330	0	Plasma-Filled Bottomless Pot {1559}	0	0
1331	0	Plasma-Filled Bottomless Pot {1559}	0	0
1332	0	Plasma-Filled Bottomless Pot {1559}	0	0
1333	0	Plasma-Filled Bottomless Pot {1559}	0	0
1334	0	Plasma-Filled Bottomless Pot {1559}	0	0
1335	0	0	0	0
1336	0	Water-Filled Bottomless Pot {1767}	0	0
1337	0	Water-Filled Bottomless Pot {1767}	0	0
1338	0	Water-Filled Bottomless Pot {1767}	0	0
1339	0	Water-Filled Bottomless Pot {1767}	0	0
1340	0	Water-Filled Bottomless Pot {1767}	0	0
1341	0	Water-Filled Bottomless Pot {1767}	0	0
1342	0	Water-Filled Bottomless Pot {1767}	0	0
1343	0	Water-Filled Bottomless Pot {1767}	0	0
1344	0	Water-Filled Bottomless Pot {1767}	0	0
1345	0	Water-Filled Bottomless Pot {1767}	0	0
1346	0	Water-Filled Bottomless Pot {1767}	0	0
1347	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1348	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1349	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1350	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1351	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1352	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1353	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1354	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1355	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1356	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1357	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1358	0	Poison-Filled Bottomless Pot {1557}	0	0
1359	0	Poison-Filled Bottomless Pot {1557}	0	0
1360	0	Poison-Filled Bottomless Pot {1557}	0	0
1361	0	Poison-Filled Bottomless Pot {1557}	0	0
1362	0	Poison-Filled Bottomless Pot {1557}	0	0
1363	0	Poison-Filled Bottomless Pot {1557}	0	0
1364	0	Poison-Filled Bottomless Pot {1557}	0	0
1365	0	Poison-Filled Bottomless Pot {1557}	0	0
1366	0	Poison-Filled Bottomless Pot {1557}	0	0
1367	0	Poison-Filled Bottomless Pot {1557}	0	0
1368	0	Poison-Filled Bottomless Pot {1557}	0	0
1369	0	Lava-Filled Bottomless Pot {1558}	0	0
1370	0	Lava-Filled Bottomless Pot {1558}	0	0
1371	0	Lava-Filled Bottomless Pot {1558}	0	0
1372	0	Lava-Filled Bottomless Pot {1558}	0	0
1373	0	Lava-Filled Bottomless Pot {1558}	0	0
1374	0	Lava-Filled Bottomless Pot {1558}	0	0
1375	0	Lava-Filled Bottomless Pot {1558}	0	0
1376	0	Lava-Filled Bottomless Pot {1558}	0	0
1377	0	Lava-Filled Bottomless Pot {1558}	0	0
1378	0	Lava-Filled Bottomless Pot {1558}	0	0
1379	0	Lava-Filled Bottomless Pot {1558}	0	0
1380	0	Nothing {-1}	0	0
1381	0	Nothing {-1}	0	0
1382	0	Nothing {-1}	0	0
1383	0	Nothing {-1}	0	0
1384	0	Nothing {-1}	0	0
1385	0	Nothing {-1}	0	0
1386	0	Nothing {-1}	0	0
1387	0	Nothing {-1}	0	0
1388	0	Nothing {-1}	0	0
1389	0	Nothing {-1}	0	0
1390	0	Nothing {-1}	0	0
1391	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1392	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1393	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1394	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1395	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1396	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1397	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1398	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1399	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1400	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1401	0	Filthy Water-Filled Bottomless Pot {2058}	0	0
1402	0	Sea Water-Filled Bottomless Pot {1}	0	0
1403	0	Sea Water-Filled Bottomless Pot {1}	0	0
1404	0	Sea Water-Filled Bottomless Pot {1}	0	0
1405	0	Sea Water-Filled Bottomless Pot {1}	0	0
1406	0	Sea Water-Filled Bottomless Pot {1}	0	0
1407	0	Sea Water-Filled Bottomless Pot {1}	0	0
1408	0	Sea Water-Filled Bottomless Pot {1}	0	0
1409	0	Sea Water-Filled Bottomless Pot {1}	0	0
1410	0	Sea Water-Filled Bottomless Pot {1}	0	0
1411	0	Sea Water-Filled Bottomless Pot {1}	0	0
1412	0	Sea Water-Filled Bottomless Pot {1}	0	0
1413	0	Plasma-Filled Bottomless Pot {1559}	0	0
1414	0	Plasma-Filled Bottomless Pot {1559}	0	0
1415	0	Plasma-Filled Bottomless Pot {1559}	0	0
1416	0	Plasma-Filled Bottomless Pot {1559}	0	0
1417	0	Plasma-Filled Bottomless Pot {1559}	0	0
1418	0	Plasma-Filled Bottomless Pot {1559}	0	0
1419	0	Plasma-Filled Bottomless Pot {1559}	0	0
1420	0	Plasma-Filled Bottomless Pot {1559}	0	0
1421	0	Plasma-Filled Bottomless Pot {1559}	0	0
1422	0	Plasma-Filled Bottomless Pot {1559}	0	0
1423	0	Plasma-Filled Bottomless Pot {1559}	0	0
1424	0	0	0	0
1425	0	Water-Filled Bottomless Pot {1767}	0	0
1426	0	Water-Filled Bottomless Pot {1767}	0	0
1427	0	Water-Filled Bottomless Pot {1767}	0	0
1428	0	Water-Filled Bottomless Pot {1767}	0	0
1429	0	Water-Filled Bottomless Pot {1767}	0	0
1430	0	Water-Filled Bottomless Pot {1767}	0	0
1431	0	Water-Filled Bottomless Pot {1767}	0	0
1432	0	Water-Filled Bottomless Pot {1767}	0	0
1433	0	Water-Filled Bottomless Pot {1767}	0	0
1434	0	Water-Filled Bottomless Pot {1767}	0	0
1435	0	Water-Filled Bottomless Pot {1767}	0	0
1436	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1437	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1438	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1439	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1440	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1441	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1442	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1443	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1444	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1445	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1446	0	Hot Water-Filled Bottomless Pot {1768}	0	0
1447	0	Poison-Filled Bottomless Pot {1557}	0	0
1448	0	Poison-Filled Bottomless Pot {1557}	0	0
1449	0	Poison-Filled Bottomless Pot {1557}	0	0
1450	0	Poison-Filled Bottomless Pot {1557}	0	0
1451	0	Poison-Filled Bottomless Pot {1557}	0	0
1452	0	Poison-Filled Bottomless Pot {1557}	0	0
